sales_agent,account,product,order_value,create_date
Niesha Huffines,Streethex,GTX Plus Pro,6384,4/30/17
Rosalina Dieter,Labdrill,MG Special,55,4/28/17
Rosalina Dieter,Y-corporation,MG Advanced,3242,4/30/17
Vicki Laflamme,Singletechno,GTXPro,4869,4/28/17
Vicki Laflamme,Hottechi,MG Advanced,3661,4/29/17
Zane Levy,Kan-code,GTXPro,5456,4/29/17
Corliss Cosme,Zotware,GTX Plus Pro,5780,4/24/17
Corliss Cosme,Zencorporation,GTXPro,5787,4/30/17
Daniell Hammack,Bioplex,GTXPro,5149,4/25/17
Donn Cantrell,Vehement Capital Partners,GTXPro,4810,4/30/17
Gladys Colclough,Betatech,GTX Basic,560,4/24/17
Kami Bicknell,Golddex,GTX Basic,592,4/24/17
Kary Hendrixson,Doncon,GTX Basic,529,4/29/17
Kary Hendrixson,J-Texon,GTXPro,5415,4/26/17
Niesha Huffines,Genco Pura Olive Oil Company,GTX Basic,554,4/24/17
Rosalina Dieter,Blackzim,MG Special,59,4/30/17
Anna Snelling,Ron-tech,MG Special,62,4/25/17
Darcel Schlecht,Domzoom,GTX Plus Pro,5029,4/29/17
Jonathan Berthelot,Globex Corporation,GTX Basic,580,4/26/17
Markita Hansen,J-Texon,GTX Plus Basic,788,4/29/17
Reed Clapper,Vehement Capital Partners,GTXPro,4980,4/25/17
Boris Faz,Zencorporation,GTX Basic,560,4/27/17
Maureen Marcano,Y-corporation,GTX Plus Basic,1113,4/26/17
Zane Levy,Rantouch,GTX Basic,464,4/27/17
Elease Gluck,Faxquote,MG Special,43,4/28/17
James Ascencio,Golddex,MG Special,49,4/28/17
Lajuana Vencill,Stanredtax,GTX Basic,517,4/27/17
Rosalina Dieter,Condax,MG Special,53,4/28/17
Vicki Laflamme,Newex,GTXPro,4735,4/27/17
Boris Faz,Konex,GTX Basic,584,4/29/17
Daniell Hammack,Konex,GTXPro,5676,4/28/17
Versie Hillebrand,Treequote,MG Special,60,4/29/17
Violet Mclelland,Plussunin,GTX Plus Basic,1146,4/28/17
