Account,Opportunity_ID,Sales_Agent,Deal_Stage,Product,Created_Date,Close_Date,Close_Value
Funholding,ONYNTUCG,Darcel Schlecht,Lost,GTXPro,11/19/16,3/17/17,0
Gogozoom,HIOHX80Y,Darcel Schlecht,Won,MG Advanced,11/19/16,3/18/17,3563
,F5U1ACDD,Kami Bicknell,In Progress,GTX Plus Basic,11/19/16,,
Opentech,LPKT07PV,Boris Faz,Won,GTXPro,11/20/16,3/23/17,4704
Silis,WPB2SLIG,Donn Cantrell,Won,GTX Plus Pro,11/20/16,3/14/17,5585
Zoomit,XUSUEAV7,Elease Gluck,Won,GTK 500,11/20/16,3/9/17,25897
,ZZY4516R,Hayden Neloms,In Progress,MG Advanced,11/20/16,,
Goodsilron,3TYPII47,Kami Bicknell,Won,GTX Plus Basic,11/20/16,3/3/17,1207
Cancity,7WAX8Z8O,Lajuana Vencill,Lost,MG Advanced,11/20/16,3/8/17,0
Rangreen,MYDUMR3R,Lajuana Vencill,Won,GTX Basic,11/20/16,3/4/17,559
Green-Plus,0DRC1U9Q,Maureen Marcano,In Progress,GTX Basic,11/20/16,,
dambase,37JFKD4I,Niesha Huffines,Won,GTX Plus Basic,11/20/16,3/9/17,1033
Kan-code,25YKPHX8,Donn Cantrell,Won,GTX Basic,11/21/16,3/21/17,462
Nam-zim,BXXMA7F3,Hayden Neloms,Lost,MG Advanced,11/21/16,3/1/17,0
Y-corporation,GIUUTBXM,Kary Hendrixson,Won,GTXPro,11/21/16,3/14/17,5539
Ron-tech,MFX2LR1Q,Lajuana Vencill,Won,MG Advanced,11/21/16,3/15/17,3573
Conecom,DUHE9FLY,Marty Freudenburg,Won,GTXPro,11/21/16,3/1/17,4926
Sunnamplex,96BSG7R1,Zane Levy,Lost,GTX Plus Basic,11/21/16,3/17/17,0
Bioplex,7FQMSWIX,Corliss Cosme,Won,MG Special,11/22/16,3/4/17,62
Gogozoom,C20AVXN7,Darcel Schlecht,Won,GTXPro,11/22/16,3/14/17,4359
Plusstrip,GS1QVWCR,Kami Bicknell,Won,GTX Basic,11/22/16,3/31/17,566
Toughzap,ZWH8FXY3,Marty Freudenburg,Won,GTX Basic,11/22/16,3/3/17,508
Vehement Capital Partners,2U94Y3Q9,Rosie Papadopoulos,Lost,MG Advanced,11/22/16,3/20/17,0
Codehow,AAR79NOO,Versie Hillebrand,Won,MG Special,11/22/16,3/11/17,51
Dalttechnology,B6B0PNR2,Vicki Laflamme,Won,GTXPro,11/22/16,3/5/17,4899
Cheers,M7I5O9YU,Corliss Cosme,In Progress,GTX Basic,11/23/16,,
Ontomedia,LXZA2OSZ,Corliss Cosme,Won,GTX Plus Pro,11/23/16,3/3/17,5790
Kinnamplus,N0ONCYVZ,Donn Cantrell,Lost,MG Special,11/23/16,3/30/17,0
,GYB4W2AU,Elease Gluck,In Progress,MG Advanced,11/23/16,,
Codehow,513DPFX5,Gladys Colclough,Won,GTXPro,11/23/16,3/3/17,4438
Finhigh,RU023K5W,Gladys Colclough,Won,MG Advanced,11/23/16,3/17/17,2972
Lexiqvolax,VDIU10RV,Markita Hansen,In Progress,MG Special,11/23/16,,
Y-corporation,BZCBQ514,Markita Hansen,Won,GTX Basic,11/23/16,3/1/17,523
Statholdings,HEE6P0QH,Anna Snelling,Won,MG Advanced,11/24/16,3/25/17,3647
Umbrella Corporation,L8CHRJ2B,Cassey Cress,Won,MG Advanced,11/24/16,3/1/17,4200
J-Texon,579LZ3F9,Daniell Hammack,In Progress,GTX Plus Basic,11/24/16,,
Bubba Gump,SU8JNMP4,Kami Bicknell,In Progress,GTX Plus Basic,11/24/16,,
Faxquote,V2X2KMUR,Kami Bicknell,Won,GTX Plus Basic,11/24/16,3/28/17,1059
Codehow,AJIPJP75,Marty Freudenburg,Lost,GTX Plus Basic,11/24/16,3/5/17,0
Dontechi,NYVA2G6U,Versie Hillebrand,Won,MG Special,11/24/16,3/2/17,57
Konex,FF45BXTL,Vicki Laflamme,Won,MG Advanced,11/24/16,3/27/17,3671
Treequote,TTA9LYBS,Anna Snelling,Won,MG Special,11/25/16,3/1/17,58
Treequote,PAGZQH8L,Cecily Lampkin,Won,MG Advanced,11/25/16,3/6/17,3956
Betasoloin,J7YF6DS7,Corliss Cosme,Won,GTX Plus Pro,11/25/16,3/1/17,5964
Betasoloin,S5IXY4Z9,Corliss Cosme,Won,GTXPro,11/25/16,3/6/17,4570
Domzoom,JQBJMETQ,Darcel Schlecht,Won,MG Special,11/25/16,3/27/17,49
Donquadtech,0LVWSWEW,Violet Mclelland,Won,MG Special,11/25/16,3/6/17,65
Domzoom,K53BC1T9,Anna Snelling,Lost,MG Special,11/26/16,3/27/17,0
Finhigh,D40N5I9Y,Darcel Schlecht,Won,GTXPro,11/26/16,3/8/17,4739
Globex Corporation,051QTX8Z,Niesha Huffines,Won,GTX Plus Basic,11/26/16,3/21/17,1080
Plussunin,5D2XH04S,Reed Clapper,Won,MG Special,11/26/16,3/12/17,57
Konex,V9E582SK,Garret Kinder,Won,GTX Basic,11/27/16,3/16/17,469
Condax,UK0LEZRJ,Kary Hendrixson,Won,GTX Basic,11/27/16,3/3/17,532
Opentech,PFFHM7HR,Markita Hansen,In Progress,MG Advanced,11/27/16,,
Konex,IT10CFQH,Rosalina Dieter,Won,GTX Basic,11/27/16,3/26/17,538
Massive Dynamic,8VKD2CCH,Rosie Papadopoulos,Won,GTXPro,11/27/16,3/21/17,4829
Doncon,2XQAKBXH,Zane Levy,Won,GTX Plus Pro,11/27/16,3/11/17,5370
Hatfan,7G7YLGJO,Zane Levy,Won,GTX Plus Pro,11/27/16,3/21/17,6499
Genco Pura Olive Oil Company,GCA97W27,Darcel Schlecht,Won,GTX Plus Basic,11/28/16,3/6/17,1161
Scotfind,K8FUZHOG,Kary Hendrixson,Won,GTX Basic,11/28/16,3/26/17,576
Hatfan,5WJZMULK,Maureen Marcano,Won,GTX Plus Basic,11/28/16,3/19/17,979
Stanredtax,ZPYD4T9W,Versie Hillebrand,Won,MG Special,11/28/16,3/7/17,43
Scottech,KE9ZEDS8,Gladys Colclough,Won,MG Special,11/29/16,3/7/17,57
Ron-tech,7KK0HQ4C,Lajuana Vencill,Lost,MG Special,11/29/16,3/28/17,0
Funholding,FP7014Z0,Lajuana Vencill,Won,GTX Plus Basic,11/29/16,3/12/17,948
Plussunin,N4HFHDMW,Wilburn Farren,Won,MG Advanced,11/29/16,3/10/17,3012
Zotware,2HFLKREC,Cassey Cress,Won,MG Advanced,11/30/16,3/15/17,3665
Gekko & Co,7JVTTVCO,Violet Mclelland,Won,GTX Basic,11/30/16,3/24/17,564
dambase,3X13866U,Anna Snelling,Lost,GTX Plus Basic,12/1/16,3/6/17,0
Initech,7LE19SYE,Cassey Cress,Won,MG Advanced,12/1/16,3/22/17,3463
Gekko & Co,J5V2M7Y1,Corliss Cosme,Won,GTX Basic,12/1/16,3/26/17,513
Konex,41MURAI5,Corliss Cosme,Won,GTX Basic,12/1/16,3/28/17,590
Dontechi,QHI8WRIA,Darcel Schlecht,Won,GTXPro,12/1/16,3/30/17,4511
Finhigh,AJXAXV4W,Lajuana Vencill,Lost,MG Advanced,12/1/16,3/2/17,0
Cancity,VPDXX5PJ,Niesha Huffines,Won,GTX Basic,12/1/16,3/26/17,546
Y-corporation,PZB9NUK8,Vicki Laflamme,Won,MG Special,12/1/16,3/5/17,46
Ron-tech,A0ANOYPF,Darcel Schlecht,Won,GTXPro,12/2/16,3/9/17,4891
Golddex,0P4AAPYX,Hayden Neloms,Won,GTX Plus Basic,12/2/16,3/3/17,1040
Sonron,O6T5WC3W,Hayden Neloms,Won,GTX Plus Basic,12/2/16,3/4/17,1108
Nam-zim,0NO04P6C,Hayden Neloms,Won,MG Special,12/2/16,3/4/17,59
Statholdings,22OFSXBT,Jonathan Berthelot,Won,GTXPro,12/2/16,3/30/17,5406
Cheers,MRXZTMM6,Kary Hendrixson,Won,GTX Basic,12/2/16,3/20/17,515
Treequote,LGI8QEC2,Moses Frase,Won,GTX Basic,12/2/16,3/6/17,583
Funholding,6KZ0NCFX,Versie Hillebrand,Won,MG Special,12/2/16,3/14/17,54
Plusstrip,3SF8O9S6,Vicki Laflamme,Won,MG Special,12/2/16,3/27/17,60
,CNM0H9FR,Zane Levy,In Progress,GTX Basic,12/2/16,,
Dontechi,XK668R7C,Darcel Schlecht,Lost,GTX Basic,12/3/16,3/12/17,0
Funholding,TZCAQWL3,Darcel Schlecht,Lost,GTXPro,12/3/16,3/19/17,0
Globex Corporation,BADC6A9H,Darcel Schlecht,Won,GTX Basic,12/3/16,3/23/17,516
Rangreen,B8E0UUZR,Darcel Schlecht,Won,GTXPro,12/3/16,3/22/17,4829
Dontechi,I043RXJV,Moses Frase,Lost,GTX Plus Basic,12/3/16,3/17/17,0
Donquadtech,MWWB44CC,Reed Clapper,Won,GTX Plus Basic,12/3/16,3/2/17,950
Xx-holding,HBTINPDG,Vicki Laflamme,Lost,GTX Plus Basic,12/3/16,3/9/17,0
Initech,DZ3KHZSX,Corliss Cosme,Won,GTX Basic,12/4/16,3/20/17,513
Condax,3W1K7X5F,Darcel Schlecht,Lost,GTXPro,12/4/16,3/9/17,0
Ron-tech,45A57X68,Darcel Schlecht,Won,GTX Plus Pro,12/4/16,3/12/17,5522
Cancity,9SLYC4TR,Gladys Colclough,Won,MG Special,12/4/16,3/9/17,56
Doncon,JLWKWQYC,James Ascencio,Won,GTXPro,12/4/16,3/8/17,5673
Xx-holding,7QC6FOKW,Kami Bicknell,Won,GTX Basic,12/4/16,3/10/17,598
Rangreen,XA184CMW,Marty Freudenburg,Won,GTX Plus Pro,12/4/16,3/16/17,5787
Singletechno,S0N7BYU3,Maureen Marcano,Won,GTX Plus Basic,12/4/16,3/8/17,1070
Donquadtech,6WOMHAJM,Boris Faz,Won,MG Advanced,12/5/16,3/14/17,3677
Ontomedia,G1QGATKV,Cassey Cress,Won,GTX Plus Pro,12/5/16,3/30/17,5425
,UAE5ZC7O,Daniell Hammack,In Progress,GTX Plus Pro,12/5/16,,
Yearin,6XFVQI32,Donn Cantrell,Won,MG Advanced,12/5/16,3/23/17,3415
,JUCNIG4H,James Ascencio,In Progress,GTX Basic,12/5/16,,
Lexiqvolax,OGD4MDJ9,Maureen Marcano,Won,GTX Plus Basic,12/5/16,3/21/17,891
Codehow,4NGBUZWJ,Lajuana Vencill,Won,GTX Basic,12/6/16,3/12/17,609
Plusstrip,EFG5DGV5,Markita Hansen,Won,MG Special,12/6/16,3/16/17,54
Labdrill,82MM4H33,Zane Levy,Won,GTX Plus Basic,12/6/16,3/9/17,1049
Gekko & Co,14PM641K,Cassey Cress,Won,GTX Plus Basic,12/7/16,3/7/17,1152
Plussunin,DSBGHOPN,Daniell Hammack,Lost,MG Special,12/7/16,3/20/17,0
Umbrella Corporation,1YSOZLHF,Daniell Hammack,Won,GTXPro,12/7/16,3/28/17,4799
dambase,E8RP9FRW,Gladys Colclough,Won,MG Special,12/7/16,3/12/17,51
J-Texon,787IRG9Q,Hayden Neloms,Won,MG Advanced,12/7/16,3/3/17,3426
Rangreen,0TUS4NAC,Jonathan Berthelot,Won,MG Special,12/7/16,3/11/17,51
Finjob,FAJTQMUM,Kami Bicknell,Won,GTX Basic,12/7/16,3/20/17,564
Isdom,TWF0J0DF,Cecily Lampkin,Won,GTX Plus Pro,12/8/16,3/1/17,5882
Stanredtax,ICMXZOVL,Daniell Hammack,In Progress,GTXPro,12/8/16,,
Plussunin,UQ14O415,Donn Cantrell,Won,GTXPro,12/8/16,3/20/17,5059
,IBEUTCSW,James Ascencio,In Progress,MG Advanced,12/8/16,,
,O3KC8QI8,Kami Bicknell,In Progress,GTX Plus Basic,12/8/16,,
Singletechno,BOJSLNDG,Kami Bicknell,Won,MG Advanced,12/8/16,3/11/17,3388
,WALNFJ70,Kary Hendrixson,In Progress,GTX Plus Pro,12/8/16,,
Zoomit,DASMR0EK,Markita Hansen,Won,GTX Plus Pro,12/8/16,3/10/17,5410
Zathunicon,A76M0OOH,Reed Clapper,Won,GTX Plus Basic,12/8/16,3/28/17,978
Scotfind,E1VKE2PH,Vicki Laflamme,Won,MG Special,12/8/16,3/26/17,54
Betatech,SKY95DVG,Anna Snelling,Lost,MG Special,12/9/16,3/22/17,0
Bubba Gump,V5OK4V5I,Cassey Cress,Won,GTX Basic,12/9/16,3/14/17,549
Mathtouch,GJ4L5HHN,Corliss Cosme,Won,GTX Plus Basic,12/9/16,3/14/17,1034
Vehement Capital Partners,9R8JWY3J,Donn Cantrell,Won,GTXPro,12/9/16,3/3/17,4998
Ontomedia,0EOFVU05,Donn Cantrell,Won,MG Advanced,12/9/16,3/28/17,3421
Doncon,HNHOPL7M,Kary Hendrixson,Won,GTX Plus Pro,12/9/16,3/4/17,5425
Dalttechnology,Y0NYI17R,Vicki Laflamme,Won,MG Special,12/9/16,3/15/17,55
Silis,R4F4RGAL,Violet Mclelland,Won,MG Advanced,12/9/16,3/14/17,3558
Plussunin,MNVMY83P,Cassey Cress,In Progress,GTXPro,12/10/16,,
Blackzim,0ZHLQFGU,Kami Bicknell,Won,GTXPro,12/10/16,3/22/17,4839
Hottechi,40DPY158,Markita Hansen,Won,MG Special,12/10/16,3/25/17,47
Fasehatice,DP9E525R,Maureen Marcano,Won,GTX Plus Basic,12/10/16,3/24/17,1007
Inity,DBDUMQQK,Niesha Huffines,Won,MG Special,12/10/16,3/24/17,48
Treequote,CNBN12RL,Versie Hillebrand,Won,MG Special,12/10/16,3/7/17,49
Mathtouch,OXL0YWEE,Violet Mclelland,Won,GTX Basic,12/10/16,3/18/17,504
,ZOBJHMAF,Cassey Cress,In Progress,MG Advanced,12/11/16,,
,KD6MB4AP,Elease Gluck,In Progress,MG Special,12/11/16,,
Finhigh,5CSSZJF4,Jonathan Berthelot,Won,GTX Basic,12/11/16,3/21/17,543
Fasehatice,0XG8TOJF,Kary Hendrixson,Lost,GTX Plus Pro,12/11/16,3/18/17,0
Fasehatice,IIS0O91J,Kary Hendrixson,Won,GTXPro,12/11/16,3/28/17,5149
Treequote,2LP5SUR5,Lajuana Vencill,Lost,GTX Basic,12/11/16,3/9/17,0
Blackzim,PYZZ3IS6,Markita Hansen,Won,GTX Plus Basic,12/11/16,3/11/17,1043
Sumace,5I4K5TQE,Cassey Cress,Lost,GTX Plus Pro,12/12/16,3/9/17,0
Condax,RV3LPOYP,James Ascencio,Won,GTX Basic,12/12/16,3/29/17,437
,A194RP0I,Rosalina Dieter,In Progress,MG Advanced,12/12/16,,
Kinnamplus,1HVNTEPV,Rosie Papadopoulos,Won,GTXPro,12/12/16,3/11/17,4465
Konex,LC85AQ1I,Vicki Laflamme,Won,GTX Basic,12/12/16,3/18/17,443
Sumace,TBV972NP,Violet Mclelland,Lost,MG Special,12/12/16,3/23/17,0
Betatech,EJMX0EIJ,Darcel Schlecht,Won,GTX Plus Pro,12/13/16,3/20/17,4278
Kinnamplus,VR9NYBOV,Garret Kinder,Won,MG Special,12/13/16,3/6/17,41
Isdom,3U25FK08,Jonathan Berthelot,Won,GTX Basic,12/13/16,3/28/17,519
,KV2OFRJT,Kami Bicknell,In Progress,GTXPro,12/13/16,,
Kan-code,CRLK4Z1P,Maureen Marcano,Won,GTX Basic,12/13/16,3/4/17,524
Singletechno,OGENAT0L,Zane Levy,Won,GTX Basic,12/13/16,3/27/17,552
Konmatfix,F57JWIDF,Gladys Colclough,Won,GTX Plus Basic,12/14/16,3/2/17,970
,ERFRHR3Z,Hayden Neloms,In Progress,MG Advanced,12/14/16,,
Hottechi,J53D8EOL,Kary Hendrixson,In Progress,GTX Plus Basic,12/14/16,,
Hatfan,LF8JZ3Q5,Kary Hendrixson,Won,GTX Plus Basic,12/14/16,3/13/17,1046
Sunnamplex,MRGBSMQ5,Kary Hendrixson,Won,GTX Plus Basic,12/14/16,3/14/17,988
Codehow,CBAV8ZJL,Lajuana Vencill,Won,GTX Basic,12/14/16,3/22/17,547
,J32XDDAW,Markita Hansen,In Progress,GTX Basic,12/14/16,,
Singletechno,NN4DWBVN,Maureen Marcano,Lost,GTXPro,12/14/16,3/4/17,0
Isdom,6JXHEZYK,Versie Hillebrand,Won,MG Special,12/14/16,3/31/17,54
Silis,WDHNR2EI,Violet Mclelland,Won,MG Special,12/14/16,3/20/17,57
Yearin,4K750D6F,Violet Mclelland,Won,MG Special,12/14/16,3/18/17,55
Stanredtax,94GI0ZJ7,Anna Snelling,Won,GTX Plus Pro,12/15/16,3/15/17,5765
Bioplex,TODG6DEK,Daniell Hammack,Won,GTX Basic,12/15/16,3/16/17,639
Labdrill,G0ECB8FS,Kary Hendrixson,Won,GTXPro,12/15/16,3/15/17,5100
,1ZDDZD8B,Markita Hansen,In Progress,MG Special,12/15/16,,
Fasehatice,96MZYUY0,Vicki Laflamme,Won,GTXPro,12/15/16,3/7/17,4906
Genco Pura Olive Oil Company,EZVKSQ9C,Boris Faz,In Progress,GTX Plus Pro,12/16/16,,
Domzoom,RJYG004O,Daniell Hammack,In Progress,GTX Basic,12/16/16,,
Opentech,JZOKHHWN,Donn Cantrell,Won,GTX Plus Basic,12/16/16,3/7/17,1037
Plexzap,EH6I67I0,James Ascencio,Won,GTX Basic,12/16/16,3/15/17,537
Hatfan,JUUXF02Z,Kary Hendrixson,Won,GTXPro,12/16/16,3/9/17,4694
Konmatfix,OT87JDWO,Lajuana Vencill,Won,GTX Basic,12/16/16,3/24/17,560
dambase,YHKT6YJ7,Moses Frase,Won,GTX Basic,12/16/16,3/13/17,589
Mathtouch,H78I3TAY,Reed Clapper,Won,GTX Basic,12/16/16,3/14/17,493
Betatech,1ROC43JK,Versie Hillebrand,Won,MG Special,12/16/16,3/8/17,50
Y-corporation,LPZLQL48,Vicki Laflamme,Won,GTX Basic,12/16/16,3/28/17,492
,PYOFK7ZD,Cassey Cress,In Progress,GTX Basic,12/17/16,,
,DWUXMAGZ,Corliss Cosme,In Progress,GTX Plus Pro,12/17/16,,
Konex,3KR50X38,Corliss Cosme,Won,GTX Plus Basic,12/17/16,3/13/17,1255
Statholdings,Q3WLHRE9,Darcel Schlecht,Won,GTX Basic,12/17/16,3/4/17,463
Initech,IX7UEOAP,Donn Cantrell,Lost,GTX Plus Basic,12/17/16,3/27/17,0
Zencorporation,NQU62K1H,Donn Cantrell,Won,GTX Basic,12/17/16,3/12/17,605
Fasehatice,NAQKOU0T,Hayden Neloms,Won,GTX Plus Basic,12/17/16,3/20/17,1315
Zumgoity,I3V3GUAI,Lajuana Vencill,Won,GTX Basic,12/17/16,3/2/17,559
Rundofase,PN4VJDXY,Moses Frase,Won,GTX Basic,12/17/16,3/28/17,557
Vehement Capital Partners,K9D4DQ3R,Rosie Papadopoulos,Won,MG Special,12/17/16,3/2/17,48
Isdom,9X6V79KE,Versie Hillebrand,Won,GTX Plus Pro,12/17/16,3/25/17,6282
,6SN2RQJX,Vicki Laflamme,In Progress,MG Special,12/17/16,,
Isdom,W1KLFNE4,Anna Snelling,Won,MG Advanced,12/18/16,3/2/17,3246
,NKPH3EFG,Cassey Cress,In Progress,MG Advanced,12/18/16,,
Finhigh,GD2OCW12,Darcel Schlecht,Won,GTX Basic,12/18/16,3/14/17,514
Silis,6XO4RYXK,Donn Cantrell,Won,GTX Plus Basic,12/18/16,3/15/17,1132
Silis,18Y7GRPW,Garret Kinder,Won,GTX Plus Pro,12/18/16,3/21/17,5918
Hottechi,127ZPLXQ,Kary Hendrixson,Lost,GTXPro,12/18/16,3/18/17,0
Kan-code,U07C2HEG,Maureen Marcano,Lost,MG Special,12/18/16,3/14/17,0
Hatfan,RNTOJ78L,Rosalina Dieter,Lost,MG Special,12/18/16,3/13/17,0
Plexzap,N07K7DR7,Rosie Papadopoulos,In Progress,MG Special,12/18/16,,
Gogozoom,NLB4D5BQ,Versie Hillebrand,Won,MG Advanced,12/18/16,3/24/17,2955
Fasehatice,FCFDJIEZ,Vicki Laflamme,Won,GTXPro,12/18/16,3/21/17,3742
Initech,YZGDW4G1,Violet Mclelland,Won,MG Special,12/18/16,3/14/17,64
Initech,G8AO5FA2,Wilburn Farren,Lost,MG Advanced,12/18/16,3/27/17,0
Warephase,125VIRMX,Elease Gluck,In Progress,GTK 500,12/19/16,,
Scotfind,LXXW3TRW,Elease Gluck,Won,GTX Plus Basic,12/19/16,3/18/17,1164
Singletechno,8KJ3H262,Elease Gluck,Won,MG Special,12/19/16,3/7/17,65
Cancity,88POGNEL,Gladys Colclough,Lost,GTX Plus Basic,12/19/16,3/7/17,0
Groovestreet,UYP3NNU6,Kami Bicknell,Won,GTX Basic,12/19/16,3/16/17,441
Finhigh,S1V8684Y,Marty Freudenburg,Lost,GTX Plus Basic,12/19/16,3/12/17,0
Hatfan,MOPWEMB5,Vicki Laflamme,Won,GTXPro,12/19/16,3/16/17,4907
Isdom,L62MDI48,Anna Snelling,Lost,MG Advanced,12/20/16,3/1/17,0
,3ECHUPQY,Daniell Hammack,In Progress,GTX Plus Basic,12/20/16,,
Codehow,3EL8D4WO,Darcel Schlecht,Won,MG Advanced,12/20/16,3/25/17,3269
Kinnamplus,VOAN1NXG,Donn Cantrell,Won,GTX Basic,12/20/16,3/12/17,579
Isdom,ALW92XQL,Gladys Colclough,Lost,GTX Basic,12/20/16,3/25/17,0
Dalttechnology,TJ6ZA1M3,Kary Hendrixson,Lost,GTX Basic,12/20/16,3/7/17,0
Xx-holding,FKAFO8O9,Kary Hendrixson,Won,MG Special,12/20/16,3/31/17,51
Faxquote,1XBC7M9F,Markita Hansen,Won,MG Special,12/20/16,3/8/17,64
Donware,8IXBS90G,Rosie Papadopoulos,Won,MG Special,12/20/16,3/8/17,60
Ganjaflex,2X45BEOS,Cassey Cress,Won,GTX Plus Basic,12/21/16,3/27/17,1186
Yearin,EQ8X0QTL,Corliss Cosme,Won,MG Advanced,12/21/16,3/9/17,3577
Donquadtech,5QD53WHF,Daniell Hammack,Won,GTX Plus Basic,12/21/16,3/7/17,1020
Blackzim,K5CWSFCW,Elease Gluck,In Progress,GTXPro,12/21/16,,
Zoomit,79EABK3X,Hayden Neloms,Won,MG Special,12/21/16,3/23/17,53
Rundofase,2DKO9X1T,Jonathan Berthelot,Lost,GTX Basic,12/21/16,3/10/17,0
Faxquote,IBDEQVBN,Kary Hendrixson,Lost,GTX Basic,12/21/16,3/28/17,0
Sunnamplex,QZ3VV4C1,Kary Hendrixson,Won,GTXPro,12/21/16,3/8/17,4719
Codehow,62AK8UWX,Moses Frase,Won,GTX Basic,12/21/16,3/22/17,546
Domzoom,5QM4ORNT,Niesha Huffines,Won,GTX Plus Basic,12/21/16,3/21/17,1212
